"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2024","71.55","72.24","72.72","71.52","135.17K","-0.03%"
"03/06/2024","71.57","72.24","72.24","71.17","183.93K","0.50%"
"03/05/2024","71.21","71.79","72.24","70.90","229.08K","-1.66%"
"03/04/2024","72.41","72.86","72.96","71.98","162.24K","-0.78%"
"03/01/2024","72.99","73.09","73.17","72.36","171.83K","0.26%"
"02/29/2024","72.79","73.88","73.91","72.43","553.79K","0.00%"
"02/28/2024","72.79","74.14","75.22","72.01","273.68K","-0.24%"
"02/27/2024","72.97","73.02","73.67","72.63","209.90K","0.05%"
"02/26/2024","72.93","73.45","74.13","72.84","197.57K","-0.96%"
"02/23/2024","73.63","74.61","74.61","73.56","297.21K","-0.64%"
"02/22/2024","74.11","73.95","74.24","73.66","168.27K","0.65%"
"02/21/2024","73.63","72.61","73.68","72.48","120.37K","1.13%"
"02/20/2024","72.81","72.74","73.24","72.23","165.75K","-0.96%"
"02/16/2024","73.52","73.94","74.58","73.28","151.54K","-1.03%"
"02/15/2024","74.28","73.40","74.31","73.40","152.93K","2.14%"
"02/14/2024","72.73","72.88","73.41","72.28","91.36K","0.95%"
"02/13/2024","72.04","72.69","72.71","71.42","188.97K","-4.11%"
"02/12/2024","75.13","74.42","75.84","74.42","115.19K","0.99%"
"02/09/2024","74.40","74.03","74.86","73.73","198.44K","0.72%"
"02/08/2024","73.86","74.19","74.76","73.27","135.57K","0.10%"
"02/07/2024","73.79","73.93","73.93","73.31","184.16K","-0.19%"
"02/06/2024","73.93","73.35","74.08","73.19","243.26K","1.02%"
"02/05/2024","73.19","73.95","74.25","72.27","246.69K","-2.50%"
"02/02/2024","75.06","75.78","75.98","74.71","221.51K","-2.49%"
"02/01/2024","76.98","76.77","77.17","75.30","246.01K","0.89%"
"01/31/2024","76.30","78.04","78.61","76.22","244.92K","-2.37%"
"01/30/2024","78.15","79.72","79.72","77.96","143.98K","-1.89%"
"01/29/2024","79.65","78.41","79.75","78.30","271.11K","1.25%"
"01/26/2024","78.67","79.53","79.73","78.65","95.36K","-0.73%"
"01/25/2024","79.25","77.88","79.33","77.21","151.21K","2.44%"
"01/24/2024","77.37","79.17","79.43","77.37","155.07K","-0.83%"
"01/23/2024","78.02","79.80","80.01","77.67","262.71K","-1.41%"
"01/22/2024","79.13","78.30","80.18","78.30","147.10K","1.34%"
"01/19/2024","78.08","77.01","78.21","76.43","213.71K","2.08%"
"01/18/2024","76.49","76.41","76.81","75.38","184.28K","1.01%"
"01/17/2024","75.73","75.69","76.21","74.89","182.02K","-1.56%"
"01/16/2024","76.93","78.13","78.13","76.68","388.67K","-1.73%"
"01/12/2024","78.28","79.82","79.94","77.98","150.31K","-0.81%"
"01/11/2024","78.92","79.42","79.68","78.36","129.83K","-1.43%"
"01/10/2024","80.06","79.93","80.27","79.64","164.02K","0.45%"
"01/09/2024","79.70","79.78","80.40","79.65","131.69K","-1.32%"
"01/08/2024","80.77","79.04","81.23","79.04","169.10K","2.23%"
"01/05/2024","79.01","78.84","80.12","78.49","318.71K","0.36%"
"01/04/2024","78.72","79.09","79.53","78.56","164.88K","-0.66%"
"01/03/2024","79.25","78.57","80.00","78.38","164.72K","-1.82%"
"01/02/2024","80.71","80.67","81.48","80.23","191.69K","-0.98%"
"12/29/2023","81.51","82.09","82.63","81.28","227.49K","-1.16%"
"12/28/2023","82.47","81.85","82.61","81.75","108.77K","0.44%"
"12/27/2023","82.10","81.31","82.27","80.98","116.10K","1.22%"
"12/26/2023","81.11","79.91","81.32","79.68","132.74K","1.59%"
"12/22/2023","79.85","79.84","80.56","79.33","160.02K","0.11%"
"12/21/2023","79.76","78.52","79.77","78.41","152.14K","2.47%"
