"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2021","80.05","79.50","82.44","75.70","2.07M","1.66%"
"01/06/2021","78.74","71.48","79.47","71.05","2.71M","12.21%"
"01/05/2021","70.17","67.28","70.63","67.22","1.35M","4.70%"
"01/04/2021","67.02","67.74","68.29","66.36","1.17M","-0.04%"
"12/31/2020","67.05","66.43","67.13","65.61","400.68K","1.13%"
"12/30/2020","66.30","67.18","67.75","65.95","382.16K","-1.12%"
"12/29/2020","67.05","65.08","67.39","64.25","608.56K","3.23%"
"12/28/2020","64.95","66.58","66.86","64.80","328.77K","-1.80%"
"12/24/2020","66.14","65.31","66.89","64.71","206.43K","-0.60%"
"12/23/2020","66.54","67.99","68.60","66.47","599.87K","-1.73%"
"12/22/2020","67.71","65.66","68.32","65.37","1.06M","3.69%"
"12/21/2020","65.30","63.78","65.55","63.17","667.65K","1.65%"
"12/18/2020","64.24","64.50","64.95","63.63","629.35K","0.33%"
"12/17/2020","64.03","64.35","64.90","63.94","325.29K","0.09%"
"12/16/2020","63.97","64.82","65.24","63.69","326.96K","-1.05%"
"12/15/2020","64.65","62.95","64.78","62.75","480.06K","2.78%"
"12/14/2020","62.90","63.45","63.75","62.60","286.31K","-0.74%"
"12/11/2020","63.37","63.25","63.69","62.08","244.01K","0.00%"
"12/10/2020","63.37","62.00","63.57","61.65","609.56K","1.85%"
"12/09/2020","62.22","64.82","64.96","61.79","599.73K","-3.53%"
"12/08/2020","64.50","62.00","64.81","61.88","1.34M","3.95%"
"12/07/2020","62.05","62.62","62.95","60.80","767.49K","-1.07%"
"12/04/2020","62.72","63.31","63.44","62.21","539.15K","-0.44%"
"12/03/2020","63.00","63.19","63.84","62.43","687.98K","0.32%"
"12/02/2020","62.80","64.00","64.05","62.58","739.25K","-1.88%"
"12/01/2020","64.00","62.60","64.78","62.58","1.62M","0.84%"
"11/30/2020","63.47","65.12","65.12","63.11","558.69K","-1.67%"
"11/27/2020","64.55","64.68","65.47","64.27","163.11K","0.44%"
"11/25/2020","64.27","63.92","64.78","63.55","481.68K","1.53%"
"11/24/2020","63.30","64.20","64.59","63.20","350.11K","0.56%"
"11/23/2020","62.95","64.59","64.77","62.80","372.24K","-1.41%"
"11/20/2020","63.85","64.36","65.03","63.69","300.10K","-0.39%"
"11/19/2020","64.10","64.89","65.00","63.73","221.40K","-0.26%"
"11/18/2020","64.27","64.85","64.86","63.88","387.87K","-0.77%"
"11/17/2020","64.77","64.77","65.39","64.31","327.57K","-0.20%"
"11/16/2020","64.90","65.23","65.68","64.55","423.23K","-0.23%"
"11/13/2020","65.05","65.05","65.99","64.79","210.25K","0.03%"
"11/12/2020","65.03","66.16","66.94","64.23","268.98K","-1.78%"
"11/11/2020","66.21","66.00","66.46","65.14","400.89K","1.13%"
"11/10/2020","65.47","66.36","66.83","64.87","382.42K","-0.61%"
