ticker,lvl,mdate,mprice_date,company_name,error,invcomticker,invcomname,news,lead,
FSNB,itermebuyprice2,4/26/2023 21:22,3/27/2023,Fusion Acquisition Corp. II,index -2 is out of bounds for axis 0 with size 0,,,,,
CEMI,itermebuyprice2,4/7/2023 21:37,3/27/2023,"Chembio Diagnostics, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
QGNC,itermebuyprice2,4/26/2023 16:12,4/20/2023,Community Trust Bancorp Inc /Ky/,index -2 is out of bounds for axis 0 with size 0,,,,,
WMPN,itermebuyprice2,4/26/2023 12:07,4/26/2023,William Penn Bancorporation,index -2 is out of bounds for axis 0 with size 0,,,,,
SDIG,itermebuyprice2,4/25/2023 21:48,4/26/2023,"Stronghold Digital Mining, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
CYTH,itermebuyprice2,4/25/2023 10:27,4/24/2023,"Cyclo Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
AUGX,itermebuyprice2,4/22/2023 21:53,4/18/2023,"Augmedix, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
MICS,itermebuyprice2,3/30/2023 16:30,4/18/2023,Singing Machine Co Inc,index -2 is out of bounds for axis 0 with size 0,,,,,
VBHI,itermebuyprice2,4/22/2023 12:17,4/21/2023,"Verde Bio Holdings, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
AMAM,itermebuyprice2,4/18/2023 17:46,4/20/2023,Ambrx Biopharma Inc.,index -2 is out of bounds for axis 0 with size 0,,,,,
ADEX.,itermebuyprice2,4/21/2023 16:30,4/20/2023,Adit Edtech Acquisition Corp.,index -2 is out of bounds for axis 0 with size 0,,,,,
JOAN,itermebuyprice2,4/19/2023 8:53,4/19/2023,Joann Inc.,index -2 is out of bounds for axis 0 with size 0,,,,,
ONCT,itermebuyprice2,4/15/2023 6:00,4/13/2023,"Oncternal Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
MLCT,itermebuyprice2,4/14/2023 18:18,4/13/2023,"Malachite Innovations, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
USBL,itermebuyprice2,4/14/2023 17:25,4/13/2023,United States Basketball League Inc,index -2 is out of bounds for axis 0 with size 0,,,,,
SFE,itermebuyprice2,4/14/2023 16:56,4/5/2023,Safeguard Scientifics Inc,index -2 is out of bounds for axis 0 with size 0,SFES,1,1,,
PATI,itermebuyprice2,3/28/2023 12:35,3/23/2023,"Patriot Transportation Holding, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
MTRY,itermebuyprice2,4/12/2023 20:00,3/24/2023,Monterey Innovation Acquisition Corp,index -2 is out of bounds for axis 0 with size 0,0,0,,,
OBSV,itermebuyprice2,4/12/2023 16:02,4/6/2023,Obseva Sa,index -2 is out of bounds for axis 0 with size 0,,,,,
BSTG,itermebuyprice2,4/11/2023 17:00,4/11/2023,"Biostage, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
NOGN,itermebuyprice2,4/11/2023 16:05,4/11/2023,"Nogin, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
COOL,itermebuyprice2,4/11/2023 12:04,4/11/2023,Corner Growth Acquisition Corp.,index -2 is out of bounds for axis 0 with size 0,,,,,
PRDS,itermebuyprice2,4/7/2023 21:08,3/24/2023,"Pardes Biosciences, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
MWRK,itermebuyprice2,4/6/2023 19:12,4/5/2023,"Metaworks Platforms, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
MLVF,itermebuyprice2,4/6/2023 12:38,4/5/2023,"Malvern Bancorp, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
N.A.,itermebuyprice2,4/6/2023 9:35,4/5/2023,South Dakota Soybean Processors LLC,index -2 is out of bounds for axis 0 with size 0,,,,,
STRC,itermebuyprice2,3/31/2023 20:24,4/5/2023,Sarcos Technology & Robotics Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
CURO,itermebuyprice2,4/5/2023 18:44,4/5/2023,Curo Group Holdings Corp.,index -2 is out of bounds for axis 0 with size 0,,,,,
BRDS,itermebuyprice2,4/5/2023 16:36,4/5/2023,"Bird Global, Inc.",index -2 is out of bounds for axis 0 with size 0,0,0,1,,
TBMCU,itermebuyprice2,4/5/2023 11:31,4/5/2023,Trailblazer Merger Corp I,index -2 is out of bounds for axis 0 with size 0,,,,,
CVLY,itermebuyprice2,3/25/2023 13:25,4/5/2023,Codorus Valley Bancorp Inc,index -2 is out of bounds for axis 0 with size 0,,,,,
ATVI,itermebuyprice2,4/4/2023 17:04,3/29/2023,"Activision Blizzard, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
PFHC,itermebuyprice2,4/1/2023 13:18,4/4/2023,Profrac Holding Corp.,index -2 is out of bounds for axis 0 with size 0,,,,,
GLT,itermebuyprice2,4/1/2023 16:16,3/31/2023,Glatfelter Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
AE,itermebuyprice2,3/29/2023 16:53,3/31/2023,"Adams Resources & Energy, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
TRSSF,itermebuyprice2,3/25/2023 13:18,3/31/2023,Terrascend Corp.,index -2 is out of bounds for axis 0 with size 0,,,,,
STNL,itermebuyprice2,4/1/2023 11:21,3/30/2023,Sentinel Energy Services Inc.,index -2 is out of bounds for axis 0 with size 0,,,,,
DICE,itermebuyprice2,3/28/2023 17:01,3/30/2023,"Dice Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0,0,0,1,NYSE:LLY,
MIRO,itermebuyprice2,3/31/2023 16:56,3/30/2023,Miromatrix Medical Inc.,index -2 is out of bounds for axis 0 with size 0,,,,,
ABST,itermebuyprice2,3/25/2023 16:33,3/30/2023,Absolute Software Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
KNWN,itermebuyprice2,3/31/2023 16:15,3/30/2023,"Know Labs, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
PRTK,itermebuyprice2,3/30/2023 16:31,3/30/2023,"Paratek Pharmaceuticals, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
CMRX,itermebuyprice2,3/30/2023 12:41,3/30/2023,Chimerix Inc,index -2 is out of bounds for axis 0 with size 0,0,0,0,,
FSR,itermebuyprice2,3/29/2023 19:21,3/29/2023,Fisker Inc./de,index -2 is out of bounds for axis 0 with size 0,,,,,
SDPI,itermebuyprice2,3/29/2023 17:32,3/29/2023,"Superior Drilling Products, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
ATSG,itermebuyprice2,3/25/2023 13:49,3/29/2023,"Air Transport Services Group, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
UHALU,itermebuyprice2,3/28/2023 20:16,3/27/2023,U-Haul Holding Co /Nv/,index -2 is out of bounds for axis 0 with size 0,,,,,
HARP,itermebuyprice2,3/28/2023 17:37,3/28/2023,"Harpoon Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
AZYO,itermebuyprice2,3/28/2023 16:17,3/28/2023,"Aziyo Biologics, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
IVAC,itermebuyprice2,3/28/2023 16:08,3/28/2023,Intevac Inc,index -2 is out of bounds for axis 0 with size 0,0,0,1,,
SZL.A,itermebuyprice2,3/28/2023 12:40,3/28/2023,Sezzle Inc.,index -2 is out of bounds for axis 0 with size 0,,,,,
AEL,itermebuyprice2,3/25/2023 17:13,3/24/2023,American Equity Investment Life Holding Co,index -2 is out of bounds for axis 0 with size 0,0,0,1,,
