date,o,h,l,c,volume
08/20/2019,0.2800,0.2800,0.2800,0.2800,500
08/27/2019,0.2800,0.2800,0.2800,0.2800,6100
08/29/2019,0.2455,0.2800,0.2455,0.2800,3000
09/04/2019,0.2950,0.2950,0.2800,0.2800,3400
09/16/2019,0.2850,0.2900,0.2400,0.2400,4600
09/17/2019,0.2381,0.2381,0.2355,0.2355,8200
09/18/2019,0.2400,0.2400,0.2400,0.2400,2000
09/19/2019,0.2500,0.2500,0.2410,0.2410,33500
09/20/2019,0.2500,0.2500,0.2420,0.2420,26000
09/23/2019,0.2452,0.2452,0.2410,0.2410,4600
09/24/2019,0.2500,0.2500,0.2500,0.2500,500
09/26/2019,0.2421,0.2421,0.2421,0.2421,800
10/01/2019,0.2421,0.2500,0.2421,0.2500,2400
10/02/2019,0.2990,0.3000,0.2990,0.3000,30400
10/03/2019,0.3000,0.3000,0.2610,0.2800,47900
10/04/2019,0.3000,0.3150,0.2950,0.2950,18000
10/07/2019,0.3050,0.3150,0.3000,0.3000,126900
10/08/2019,0.3000,0.3000,0.2615,0.2800,108800
10/09/2019,0.2800,0.2968,0.2800,0.2960,4700
10/11/2019,0.3000,0.3000,0.2999,0.3000,101500
10/15/2019,0.3001,0.3050,0.3000,0.3050,82700
10/16/2019,0.3000,0.3006,0.3000,0.3006,30400
10/17/2019,0.3000,0.3100,0.2816,0.2816,23400
10/18/2019,0.2900,0.3000,0.2900,0.3000,55000
10/21/2019,0.2900,0.2900,0.2850,0.2850,22500
10/22/2019,0.2900,0.2900,0.2800,0.2800,15500
10/29/2019,0.2700,0.2700,0.2700,0.2700,400
11/05/2019,0.2890,0.2890,0.2604,0.2700,28700
11/06/2019,0.2700,0.2700,0.2700,0.2700,45000
11/07/2019,0.2700,0.3100,0.2700,0.3100,9100
11/08/2019,0.3100,0.3100,0.3076,0.3076,5900
11/11/2019,0.3100,0.3100,0.2900,0.2900,5500
11/12/2019,0.2900,0.2900,0.2604,0.2800,63100
11/13/2019,0.2604,0.2701,0.2604,0.2701,13000
11/15/2019,0.2700,0.2701,0.2700,0.2701,3000
11/18/2019,0.2701,0.2701,0.2701,0.2701,1600
11/19/2019,0.2550,0.2700,0.2400,0.2700,103900
11/20/2019,0.2550,0.2700,0.2550,0.2700,4000
11/21/2019,0.2500,0.2700,0.2500,0.2500,137000
11/22/2019,0.2450,0.2450,0.2400,0.2400,40000
11/26/2019,0.2400,0.2551,0.2400,0.2400,20600
11/27/2019,0.2400,0.2600,0.2400,0.2600,15700
12/03/2019,0.2600,0.2600,0.2397,0.2397,1600
12/04/2019,0.2397,0.2397,0.2397,0.2397,500
12/05/2019,0.2397,0.2397,0.2397,0.2397,500
12/06/2019,0.2397,0.2397,0.2397,0.2397,500
12/10/2019,0.2600,0.2600,0.2400,0.2500,8300
12/11/2019,0.2500,0.2500,0.2500,0.2500,10900
12/13/2019,0.2500,0.2500,0.2400,0.2400,4500
12/16/2019,0.2397,0.2397,0.2397,0.2397,2100
12/18/2019,0.2400,0.2400,0.2400,0.2400,28600
12/20/2019,0.2405,0.2405,0.2405,0.2405,200
12/23/2019,0.2450,0.2575,0.2450,0.2575,5000
12/26/2019,0.2400,0.2400,0.2400,0.2400,7700
12/27/2019,0.2400,0.2400,0.2400,0.2400,4200
12/30/2019,0.2400,0.2400,0.2400,0.2400,11500
01/03/2020,0.2302,0.2302,0.2302,0.2302,100
01/06/2020,0.2400,0.2400,0.2302,0.2302,10000
01/09/2020,0.2321,0.2400,0.2321,0.2400,6600
01/10/2020,0.2323,0.2600,0.2322,0.2580,42500
01/14/2020,0.2511,0.2511,0.2511,0.2511,2600
01/16/2020,0.2511,0.2511,0.2400,0.2400,22500
01/17/2020,0.2401,0.2401,0.2400,0.2400,51800
01/21/2020,0.2306,0.2500,0.2306,0.2500,33700
01/23/2020,0.1990,0.1990,0.1990,0.1990,200
01/27/2020,0.2104,0.2106,0.2104,0.2105,13300
01/28/2020,0.2106,0.2106,0.2106,0.2106,1000
01/30/2020,0.2110,0.2110,0.2110,0.2110,2000
01/31/2020,0.2104,0.2104,0.2104,0.2104,500
02/03/2020,0.2104,0.2390,0.2104,0.2105,9500
02/05/2020,0.2104,0.2104,0.2104,0.2104,500
02/06/2020,0.2104,0.2200,0.2100,0.2104,26400
02/10/2020,0.2300,0.2300,0.2051,0.2051,200
02/11/2020,0.2100,0.2100,0.2100,0.2100,10000
02/12/2020,0.1926,0.2227,0.1926,0.2110,3100
02/14/2020,0.1950,0.1950,0.1250,0.1550,287200
02/18/2020,0.1492,0.1700,0.1400,0.1666,112000
02/21/2020,0.1595,0.1600,0.1588,0.1590,156300
02/24/2020,0.1622,0.1622,0.1590,0.1590,12900
02/25/2020,0.1588,0.1588,0.1402,0.1402,21900
02/28/2020,0.1407,0.1424,0.1407,0.1424,14700
03/02/2020,0.1431,0.1450,0.1431,0.1450,7000
03/06/2020,0.1606,0.1688,0.1606,0.1688,500
03/09/2020,0.1470,0.1470,0.1401,0.1401,21600
03/10/2020,0.1470,0.1470,0.1291,0.1291,29300
03/11/2020,0.1200,0.1330,0.1200,0.1330,164300
03/12/2020,0.1385,0.1385,0.1385,0.1385,500
03/13/2020,0.1500,0.1500,0.1290,0.1290,33500
03/18/2020,0.1000,0.1051,0.1000,0.1001,12000
03/19/2020,0.1000,0.1000,0.1000,0.1000,1000
03/20/2020,0.1000,0.1200,0.1000,0.1200,20800
03/24/2020,0.1175,0.1200,0.1175,0.1176,2100
03/25/2020,0.1315,0.1370,0.1315,0.1370,31800
03/27/2020,0.1500,0.1730,0.1500,0.1500,42300
03/31/2020,0.1450,0.1451,0.1400,0.1400,30500
04/01/2020,0.1450,0.1500,0.1450,0.1450,23400
04/06/2020,0.1400,0.1400,0.1400,0.1400,200
04/20/2020,0.1052,0.1052,0.1052,0.1052,7900
04/21/2020,0.1400,0.1400,0.1400,0.1400,22800
04/23/2020,0.1400,0.1400,0.1398,0.1400,3300
04/24/2020,0.1300,0.1400,0.1300,0.1400,1400
04/29/2020,0.1400,0.1400,0.1212,0.1400,95400
04/30/2020,0.1390,0.1400,0.1390,0.1400,299900
05/01/2020,0.1400,0.1400,0.1400,0.1400,80000
05/05/2020,0.1450,0.1450,0.1450,0.1450,300
05/06/2020,0.1300,0.1450,0.1300,0.1450,74900
05/11/2020,0.1300,0.1300,0.1300,0.1300,100
05/12/2020,0.1034,0.1034,0.1034,0.1034,3800
05/14/2020,0.1200,0.1200,0.1200,0.1200,300
05/15/2020,0.1400,0.1400,0.1201,0.1300,63100
05/19/2020,0.1390,0.1400,0.1390,0.1400,13000
05/20/2020,0.1400,0.1400,0.1400,0.1400,3300
05/21/2020,0.1159,0.1159,0.1159,0.1159,300
05/22/2020,0.1200,0.1200,0.1124,0.1124,7000
05/26/2020,0.1124,0.1124,0.1100,0.1100,6000
05/28/2020,0.1400,0.1400,0.1400,0.1400,1500
05/29/2020,0.1250,0.1250,0.1250,0.1250,200
06/01/2020,0.1400,0.1400,0.1390,0.1390,600
06/03/2020,0.1400,0.1450,0.1400,0.1450,25000
06/04/2020,0.1400,0.1400,0.1400,0.1400,9600
06/05/2020,0.1450,0.1450,0.1450,0.1450,10300
06/08/2020,0.1066,0.1066,0.1066,0.1066,12500
06/09/2020,0.1078,0.1078,0.1078,0.1078,3300
06/11/2020,0.1101,0.1101,0.1101,0.1101,10000
06/12/2020,0.1449,0.1449,0.1449,0.1449,2500
06/16/2020,0.1408,0.1408,0.1408,0.1408,500
06/17/2020,0.1309,0.1309,0.1200,0.1200,10000
06/18/2020,0.1350,0.1350,0.1350,0.1350,7100
06/19/2020,0.1350,0.1350,0.1350,0.1350,100
06/22/2020,0.1350,0.1400,0.1350,0.1400,10000
06/23/2020,0.1375,0.1399,0.1242,0.1242,26200
06/25/2020,0.1399,0.1399,0.1399,0.1399,500
06/26/2020,0.1350,0.1350,0.1075,0.1224,26000
06/29/2020,0.1344,0.1350,0.1344,0.1350,3500
06/30/2020,0.1340,0.1350,0.1340,0.1350,10200
07/02/2020,0.1350,0.1350,0.1142,0.1142,11000
07/08/2020,0.1151,0.1151,0.1151,0.1151,2500
07/09/2020,0.1200,0.1200,0.1200,0.1200,900
07/13/2020,0.1200,0.1200,0.1200,0.1200,3000
07/14/2020,0.1398,0.1398,0.1398,0.1398,300
07/17/2020,0.1300,0.1300,0.1300,0.1300,9500
07/20/2020,0.1500,0.2000,0.1450,0.1900,120200
07/21/2020,0.1900,0.2100,0.1700,0.1890,12200
07/22/2020,0.1760,0.1761,0.1760,0.1761,10000
07/27/2020,0.1900,0.2148,0.1900,0.2120,126200
07/28/2020,0.2175,0.2200,0.2175,0.2200,44000
07/29/2020,0.2300,0.2349,0.2300,0.2349,47500
07/30/2020,0.2449,0.2449,0.2370,0.2449,42100
07/31/2020,0.2500,0.2700,0.2370,0.2700,10900
08/03/2020,0.2370,0.2600,0.2370,0.2600,3300
08/04/2020,0.2600,0.2600,0.2550,0.2600,11700
08/05/2020,0.2600,0.3199,0.2600,0.2710,11900
08/06/2020,0.3199,0.4400,0.2900,0.3500,25600
08/07/2020,0.3500,0.3700,0.3500,0.3600,17100
08/10/2020,0.3600,0.3600,0.3600,0.3600,7300
08/11/2020,0.3900,0.3900,0.2650,0.3500,15900
08/12/2020,0.3800,0.3800,0.3800,0.3800,1600
08/13/2020,0.3500,0.3500,0.2650,0.2650,2800
08/17/2020,0.2700,0.3100,0.2650,0.2650,5500
08/18/2020,0.3300,0.3300,0.3299,0.3299,700
08/19/2020,0.3300,0.3300,0.3300,0.3300,200
08/20/2020,0.2500,0.2700,0.2500,0.2600,25000
08/21/2020,0.2700,0.2700,0.2350,0.2600,96300
08/24/2020,0.2400,0.2401,0.2300,0.2300,13100
08/26/2020,0.2450,0.3400,0.2450,0.2755,52100
08/27/2020,0.2650,0.2650,0.2650,0.2650,1000
08/28/2020,0.2600,0.2600,0.2600,0.2600,13000
08/31/2020,0.2650,0.2650,0.2400,0.2600,19200
09/01/2020,0.2900,0.3000,0.2900,0.3000,25200
09/03/2020,0.3000,0.3000,0.2600,0.3000,3500
09/04/2020,0.3000,0.3100,0.3000,0.3100,19200
09/08/2020,0.3100,0.3200,0.2850,0.3200,10200
09/09/2020,0.3200,0.3200,0.3200,0.3200,5300
09/10/2020,0.3200,0.3200,0.3200,0.3200,300
09/14/2020,0.2600,0.2720,0.2600,0.2600,6700
09/15/2020,0.2600,0.2680,0.2600,0.2680,12500
09/16/2020,0.2600,0.2600,0.2500,0.2500,22000
09/17/2020,0.2725,0.2725,0.2500,0.2501,800
09/18/2020,0.2650,0.2800,0.2650,0.2800,400
09/23/2020,0.2510,0.2575,0.2500,0.2500,11700
09/25/2020,0.2500,0.2500,0.2500,0.2500,2000
09/28/2020,0.2500,0.2500,0.2500,0.2500,600
10/01/2020,0.2500,0.2500,0.2500,0.2500,1000
10/06/2020,0.2500,0.2500,0.2500,0.2500,10900
10/07/2020,0.2800,0.2950,0.2650,0.2950,9200
10/14/2020,0.3100,0.3200,0.3100,0.3200,11300
10/16/2020,0.2900,0.2900,0.2900,0.2900,100
10/22/2020,0.2600,0.2600,0.2600,0.2600,600
10/26/2020,0.2600,0.2600,0.2600,0.2600,4000
10/28/2020,0.2600,0.2600,0.2600,0.2600,5600
11/04/2020,0.2600,0.2901,0.2600,0.2600,7100
11/10/2020,0.2600,0.2600,0.2600,0.2600,400
11/16/2020,0.3450,0.3450,0.3100,0.3400,28200
11/17/2020,0.3300,0.3350,0.3200,0.3330,5300
11/18/2020,0.3350,0.3350,0.3110,0.3200,15300
11/19/2020,0.2911,0.2911,0.2911,0.2911,2000
11/20/2020,0.3000,0.3000,0.3000,0.3000,3000
11/27/2020,0.3300,0.3300,0.3300,0.3300,800
11/30/2020,0.3050,0.3300,0.3050,0.3050,5400
12/04/2020,0.3500,0.3500,0.3500,0.3500,1500
12/07/2020,0.3500,0.3500,0.3001,0.3400,8500
12/08/2020,0.2950,0.2950,0.2950,0.2950,5000
12/09/2020,0.2960,0.2960,0.2960,0.2960,900
12/14/2020,0.3124,0.3298,0.3124,0.3298,1200
12/15/2020,0.3298,0.3400,0.3050,0.3400,9000
12/16/2020,0.3151,0.3300,0.3151,0.3151,10000
12/17/2020,0.3071,0.3300,0.3071,0.3300,4600
12/18/2020,0.3071,0.3300,0.3060,0.3300,13000
12/21/2020,0.3060,0.3300,0.3060,0.3300,15800
12/23/2020,0.3000,0.3300,0.3000,0.3300,5100
12/24/2020,0.3290,0.3300,0.3290,0.3300,9000
12/29/2020,0.3150,0.3150,0.3000,0.3000,800
12/30/2020,0.2950,0.3300,0.2950,0.3000,6500
12/31/2020,0.3000,0.3411,0.3000,0.3411,32000
01/05/2021,0.3500,0.3500,0.3479,0.3500,84700
01/06/2021,0.3400,0.3700,0.3300,0.3300,57400
01/08/2021,0.3700,0.3990,0.3600,0.3800,43700
01/11/2021,0.3800,0.3900,0.3800,0.3800,26700
01/12/2021,0.3450,0.3800,0.3450,0.3800,2100
01/14/2021,0.4000,0.4370,0.3726,0.4370,190800
01/15/2021,0.4390,0.4400,0.3810,0.4150,27000
01/21/2021,0.3990,0.3990,0.3990,0.3990,700
01/22/2021,0.4000,0.4200,0.4000,0.4150,7400
01/25/2021,0.3800,0.4200,0.3800,0.4150,2600
01/26/2021,0.4083,0.4150,0.3850,0.4150,3800
01/27/2021,0.3551,0.4000,0.3551,0.3750,20800
01/28/2021,0.3750,0.3750,0.3560,0.3750,3400
02/01/2021,0.4140,0.4150,0.4000,0.4100,40400
02/02/2021,0.4150,0.4150,0.4150,0.4150,2500
02/03/2021,0.4150,0.4150,0.3700,0.4000,12900
02/04/2021,0.4000,0.4150,0.3700,0.4150,25300
02/05/2021,0.4068,0.4068,0.3800,0.3875,102700
02/08/2021,0.3838,0.4150,0.3701,0.4150,48000
02/10/2021,0.4150,0.4150,0.4150,0.4150,3200
02/11/2021,0.3945,0.4400,0.3710,0.3710,30200
02/16/2021,0.4100,0.4200,0.4000,0.4000,66800
02/17/2021,0.4000,0.4300,0.3800,0.4300,41100
02/18/2021,0.4400,0.4400,0.4400,0.4400,1000
02/22/2021,0.4350,0.4700,0.4000,0.4253,230700
02/23/2021,0.4213,0.4612,0.4150,0.4200,27000
02/25/2021,0.4151,0.4151,0.4150,0.4150,5900
02/26/2021,0.4100,0.4750,0.4100,0.4750,8300
03/01/2021,0.4702,0.5000,0.4200,0.4976,36200
03/03/2021,0.4493,0.4900,0.4150,0.4900,3700
03/04/2021,0.4505,0.4505,0.4200,0.4200,14600
03/08/2021,0.4788,0.4798,0.4200,0.4200,3500
03/09/2021,0.4300,0.4300,0.4100,0.4100,30200
03/10/2021,0.4100,0.4100,0.4100,0.4100,1200
03/11/2021,0.4105,0.4300,0.4105,0.4300,1800
03/12/2021,0.4350,0.4583,0.4350,0.4499,17800
03/15/2021,0.4350,0.4350,0.4250,0.4250,1100
03/17/2021,0.4650,0.4650,0.4650,0.4650,4800
03/18/2021,0.4646,0.4646,0.4560,0.4560,6100
03/19/2021,0.4100,0.4100,0.4100,0.4100,4800
03/22/2021,0.4300,0.4300,0.4113,0.4113,5200
03/24/2021,0.4100,0.4300,0.4100,0.4300,800
03/25/2021,0.4104,0.4104,0.4104,0.4104,200
03/29/2021,0.4104,0.4104,0.4104,0.4104,300
04/01/2021,0.4104,0.4104,0.4104,0.4104,900
04/05/2021,0.4104,0.4104,0.3100,0.4100,21600
04/07/2021,0.4000,0.4000,0.3700,0.3710,17800
04/08/2021,0.3710,0.3805,0.3710,0.3805,1800
04/09/2021,0.3730,0.3730,0.3730,0.3730,1500
04/13/2021,0.4390,0.4980,0.3800,0.4100,37700
04/14/2021,0.3813,0.3813,0.3800,0.3801,18200
04/15/2021,0.4376,0.4376,0.3750,0.4175,79900
04/23/2021,0.4500,0.4500,0.4450,0.4450,8100
04/27/2021,0.4432,0.4443,0.4432,0.4433,15800
04/28/2021,0.4240,0.4240,0.4240,0.4240,200
05/05/2021,0.3800,0.3800,0.3800,0.3800,300
05/07/2021,0.3800,0.3800,0.3800,0.3800,4400
05/10/2021,0.3850,0.3850,0.3850,0.3850,8200
05/12/2021,0.3800,0.3800,0.3800,0.3800,200
05/13/2021,0.3800,0.3800,0.3800,0.3800,100
05/14/2021,0.3800,0.3800,0.3800,0.3800,100
05/18/2021,0.3800,0.3800,0.3800,0.3800,1000
05/19/2021,0.3800,0.3800,0.3800,0.3800,30800
05/20/2021,0.4000,0.4000,0.3990,0.3990,1800
05/24/2021,0.3700,0.4000,0.3450,0.4000,9900
05/26/2021,0.3549,0.3549,0.3450,0.3450,1300
06/07/2021,0.3510,0.3900,0.3510,0.3900,6400
06/09/2021,0.4000,0.4000,0.3900,0.3900,4300
06/10/2021,0.3450,0.4350,0.3100,0.3350,16900
06/11/2021,0.4000,0.4000,0.4000,0.4000,15400
06/14/2021,0.4000,0.4000,0.4000,0.4000,2600
06/15/2021,0.4200,0.4200,0.4200,0.4200,900
06/16/2021,0.3410,0.3410,0.3410,0.3410,100
06/24/2021,0.3601,0.3601,0.3601,0.3601,1100
06/29/2021,0.3990,0.4100,0.3990,0.4100,2900
07/01/2021,0.3601,0.3601,0.3600,0.3600,12500
07/07/2021,0.3800,0.3800,0.3200,0.3200,11600
07/09/2021,0.3211,0.3600,0.3100,0.3450,42300
07/14/2021,0.3450,0.4000,0.3118,0.3200,309800
07/15/2021,0.3000,0.3900,0.3000,0.3790,55800
07/16/2021,0.3400,0.3400,0.3300,0.3300,34400
07/19/2021,0.3300,0.3300,0.2850,0.2850,18300
07/20/2021,0.3100,0.3100,0.3100,0.3100,3500
07/21/2021,0.3100,0.3100,0.3100,0.3100,5200
07/23/2021,0.3300,0.3300,0.3300,0.3300,6500
07/26/2021,0.3300,0.3300,0.3300,0.3300,1500
07/27/2021,0.3800,0.3800,0.3800,0.3800,15000
08/02/2021,0.3000,0.3740,0.3000,0.3740,16700
08/06/2021,0.3450,0.3450,0.2700,0.3450,2600
08/09/2021,0.3300,0.3300,0.3295,0.3300,10400
08/11/2021,0.3000,0.3100,0.3000,0.3000,39200
08/12/2021,0.3000,0.3000,0.2650,0.2651,43500
08/13/2021,0.2750,0.3400,0.2730,0.3400,24500
08/16/2021,0.3450,0.3790,0.2900,0.3200,35300
08/17/2021,0.3000,0.3000,0.2650,0.2800,37900
08/18/2021,0.3100,0.3400,0.3100,0.3400,70700
08/19/2021,0.3400,0.3590,0.3125,0.3125,147500
08/20/2021,0.3000,0.3000,0.2901,0.3000,73200
08/23/2021,0.3101,0.3101,0.3101,0.3101,1000
08/24/2021,0.3400,0.3580,0.3100,0.3399,31700
08/25/2021,0.3010,0.3200,0.3010,0.3200,9400
08/26/2021,0.3760,0.3760,0.2850,0.3480,42100
08/27/2021,0.3200,0.3200,0.3200,0.3200,5000
08/30/2021,0.3000,0.3100,0.2930,0.3000,22900
08/31/2021,0.3000,0.3000,0.2850,0.3000,20000
09/01/2021,0.3200,0.3200,0.3200,0.3200,2500
09/03/2021,0.3450,0.3500,0.3350,0.3400,26700
09/07/2021,0.3480,0.3760,0.3480,0.3760,1103
09/09/2021,0.3760,0.3800,0.3760,0.3760,90300
09/10/2021,0.3795,0.3800,0.3795,0.3800,1500
09/13/2021,0.3800,0.3800,0.3500,0.3500,16100
09/14/2021,0.3500,0.3500,0.3300,0.3300,24800
09/16/2021,0.3890,0.3890,0.3200,0.3600,8200
09/17/2021,0.3700,0.3700,0.3700,0.3700,2000
09/20/2021,0.3100,0.3700,0.3100,0.3700,6500
09/22/2021,0.3700,0.3700,0.3700,0.3700,2500
09/24/2021,0.3900,0.3900,0.3200,0.3477,32400
09/27/2021,0.3356,0.3499,0.3356,0.3499,3700
09/29/2021,0.3205,0.3900,0.3205,0.3900,14500
09/30/2021,0.3210,0.3495,0.3200,0.3478,12500
10/01/2021,0.3498,0.3498,0.3498,0.3498,2800
10/04/2021,0.3499,0.3500,0.3350,0.3500,13040
10/08/2021,0.3300,0.3300,0.3200,0.3200,30000
10/11/2021,0.3200,0.3200,0.3200,0.3200,25000
10/14/2021,0.3500,0.3500,0.3500,0.3500,531
10/18/2021,0.3300,0.3400,0.3200,0.3400,20801
10/19/2021,0.3350,0.3350,0.3200,0.3200,2004
10/20/2021,0.3300,0.3300,0.3203,0.3203,10506
10/21/2021,0.3107,0.3107,0.3106,0.3106,5543
10/25/2021,0.3495,0.3500,0.3100,0.3100,14020
11/02/2021,0.3650,0.3650,0.3100,0.3400,8402
11/03/2021,0.3110,0.3450,0.3100,0.3450,19201
11/05/2021,0.3900,0.3900,0.3100,0.3900,31900
11/08/2021,0.3495,0.3500,0.3200,0.3200,13000
11/09/2021,0.3400,0.3550,0.3150,0.3200,74700
11/11/2021,0.3900,0.4900,0.3200,0.3600,260300
11/12/2021,0.4050,0.4050,0.3100,0.3450,253700
11/16/2021,0.3800,0.3800,0.3300,0.3750,97500
11/17/2021,0.3326,0.3600,0.3320,0.3600,19500
11/18/2021,0.3500,0.3748,0.3500,0.3510,15200
11/22/2021,0.3160,0.3160,0.2600,0.2700,143100
11/23/2021,0.2600,0.2700,0.2400,0.2600,451806
11/29/2021,0.2100,0.2285,0.2000,0.2285,5700
11/30/2021,0.2285,0.2500,0.2280,0.2500,74600
12/01/2021,0.2600,0.2700,0.2600,0.2700,3700
12/02/2021,0.2451,0.2670,0.2231,0.2670,12420
12/03/2021,0.2700,0.2980,0.2475,0.2890,26900
12/06/2021,0.2412,0.2894,0.2250,0.2300,17515
12/08/2021,0.2495,0.3000,0.2300,0.2415,205600
12/09/2021,0.2415,0.2500,0.2300,0.2300,49800
12/10/2021,0.2250,0.2250,0.2250,0.2250,400
12/13/2021,0.2788,0.2793,0.2200,0.2200,41900
12/14/2021,0.2101,0.2306,0.2101,0.2101,20000
12/15/2021,0.2150,0.2700,0.2150,0.2355,44000
12/17/2021,0.2400,0.2400,0.2380,0.2380,14800
12/20/2021,0.2570,0.2570,0.2200,0.2200,21500
12/22/2021,0.2121,0.2500,0.2121,0.2500,18000
12/23/2021,0.2500,0.2600,0.2201,0.2201,15401
12/28/2021,0.2700,0.2977,0.2301,0.2370,358000
12/30/2021,0.2302,0.2500,0.2302,0.2500,2500
12/31/2021,0.2550,0.2550,0.2550,0.2550,5100
01/04/2022,0.2405,0.2405,0.2300,0.2300,13000
01/05/2022,0.2220,0.2300,0.2220,0.2221,41400
01/06/2022,0.2490,0.2500,0.2221,0.2221,17500
01/10/2022,0.2110,0.2110,0.2100,0.2100,37200
01/11/2022,0.2100,0.2255,0.2100,0.2195,194600
01/13/2022,0.2045,0.2200,0.2000,0.2000,37600
01/14/2022,0.2140,0.2140,0.2020,0.2049,38000
01/18/2022,0.2100,0.2200,0.1931,0.2103,137600
